lat,lon,name
25007931,80485733,Kalinjar Fort Hill Road
25008016,80485677,Kalinjar Fort Hill Road
25008031,80372068,Baghain
25008038,80888700,B
25008221,80372194,Baghain
25008467,80372386,Baghain
25008789,80485540,Kalinjar Fort Hill Road
25008850,80372642,Baghain
25008955,80485407,Kalinjar Fort Hill Road
25009042,80890057,B
25009112,80372616,Baghain
25009120,80485122,Kalinjar Fort Hill Road
25009174,80075482,Parmajhor
25009300,80484818,Kalinjar Fort Hill Road
25009346,80736472,Sanda
25009590,80371955,Baghain
25009859,80371684,Baghain
25009895,80765491,Ramnagar
25009939,80484332,Kalinjar Fort Hill Road
25010059,80484272,Kalinjar Fort Hill Road
25010110,80891499,B
25010113,80371332,Baghain
25010215,80484310,Kalinjar Fort Hill Road
25010345,80193862,Pawai
25010374,80370972,Baghain
25010902,80892565,B
25010996,80370441,Baghain
25011227,80893082,B
25011315,80274967,Kadraha
25011470,80929123,B
25011482,80928158,B
25011484,80930523,B
25011517,80931140,B
25011539,80927356,B
25011604,80932270,B
25011709,80933180,B
25011754,80925262,B
25011800,80369968,Baghain
25011840,80684169,Nakela
25011871,80934242,B
25011897,80894223,B
25011962,80923312,B
25012027,80935014,B
25012191,80921272,B
25012191,80894814,B
25012230,80847396,Paisuni
25012247,80936035,B
25012269,80920560,B
25012342,80369747,Baghain
25012399,80919368,B
25012456,80936849,B
25012612,80917396,B
25012626,80895746,B
25012792,80937929,B
25012814,80915437,B
25012823,80369910,Baghain
25012918,80213403,Khairahi
25012943,80482674,Kalinjar
25012956,80896586,B
25012974,80938500,B
25012994,80913565,B
25013100,80370094,Baghain
25013207,80911785,B
25013277,80911087,B
25013322,80897726,B
25013401,80939674,B
25013433,80909813,B
25013444,80242405,Ken
25013495,80433697,Nizampur
25013512,80909141,B
25013512,80898477,B
25013600,80370311,Baghain
25013654,80940317,B
25013670,80907750,B
25013690,80899309,B
25013744,80899558,B
25013854,80906109,B
25013903,80900562,B
25013959,80904986,B
25013995,80372713,Baghain
25014002,80901376,B
25014010,80372922,Baghain
25014051,80904048,B
25014051,80902296,B
25014061,80903226,B
25014063,80372478,Baghain
25014127,80373022,Baghain
25014146,80370667,Baghain
25014188,80371236,Baghain
25014196,80372211,Baghain
25014233,80368665,Icholiya
25014268,80444571,Kalayanpur_Khora
25014332,80373273,Baghain
25014350,80941831,B
25014438,80371499,Baghain
25014442,80372052,Baghain
25014459,80942061,B
25014473,80742717,Malgausa
25014541,80371914,Baghain
25014561,80707865,Singhpur
25014603,80942304,B
25014673,80373821,Baghain
25014920,80374009,Baghain
25015001,80943007,B
25015238,80374168,Baghain
25015493,80943803,B
25015496,80374252,Baghain
25015697,80374382,Baghain
25015947,80374591,Baghain
25016187,80944900,B
