type,id,name,lat,lon
node,2734619314,Academic Area Gate 2,26510527,80234796
node,2734619318,Academic Area Gate 3,26510543,80231955
node,2734619325,Noble Book Stall,26511373,80236191
node,2734619335,Academic Area Gate 1,26513093,80235257
node,2734619353,Looks Men Hair Salon,26511693,80236174
node,2734619360,Beer Shop,26511519,80246503
node,2876633626,Bithur,26600809,80272228
node,3100545229,Bhanu botique,26485503,80336689
node,3213577186,Tirwaganj,26957646,79789204
node,3213592532,Auras,26914528,80507847
node,3213592533,Makanpur,26902144,79979130
node,3213592534,Thathia,26925448,79898541
node,3277783199,Southern Labs Canteen,26511789,80234290
node,3287833666,Pariyar,26629900,80321390
node,3718065073,Tannery_1,26491080,80323340
node,3718079992,Tannery_2,26432844,80404437
node,3718083266,Tannery_3,26431278,80406771
node,3718083508,Tannery_4,26432526,80409285
node,3718083517,Tannery_5,26432026,80408812
node,3734153931,Nana Rao Peshva Statue,26611431,80269801
node,3824460751,Seth Anandram Jaipuria School,26461454,80366962
node,3862137593,Hall 2 Canteen,26510866,80229879
node,3862619009,"69 E barra 3 Janta Nagar, Kanpur,uttar pradesh, india",26440750,80292136
node,4019669688,Magarwara,26515200,80430805
node,4233283192,jak,26467373,80349177
node,4248073089,Bangarmau - Madhauganj SH38,26927516,80200721
node,4248073099,Bangarmau - Madhauganj SH38,26928464,80195614
node,4278820527,Bhimsen Junction,26420366,80219292
node,4311239489,Hukka Restaurant,26483531,80320598
node,4311239490,Famous Tailor,26431985,80336487
node,4311239589,Domino's,26505131,80229457
node,4335735789,Minda kua,26611762,79766698
node,4404262832,Ramakrishna Mission Ashrama,26468699,80318614
node,4423569287,Kanpur- Aligarh,26912728,80033204
node,4423569614,Kanpur- Aligarh,26909791,80027410
node,4444117063,Lalpur,26321381,79950114
node,4486736201,Taragaon,26531199,80604017
node,4511631420,Pokhrayan,26223440,79841117
node,4530763993,Gwaltoli,26484390,80329127
node,4537365035,Nawab Ganj,26621317,80666423
node,4686324403,प्राथमिक स्वास्थ्य केन्द्र,26471277,80326793
node,4792178570,Rave 3,26491881,80327782
node,4792187015,Petrol Pump,26486388,80339393
node,4792206892,Geeta Nagar Park,26483481,80291347
node,4792206893,Geeta Nagar Gurudwara,26484270,80290921
node,4922027286,Chakeri,26379609,80408615
node,4922054796,KIT  Boys Hostel,26368875,80425237
node,4922060354,Allen House group of Colleges,26365493,80436167
node,4922062040,Allen House Public School,26364974,80434485
node,4922065070,Bharat Petroleum,26363371,80432721
node,4963729306,Mandhana Junction,26557056,80222755
node,4963731089,Rawatpur,26483249,80298209
node,4963731103,Armapur,26472455,80264482
node,4963731104,Panki,26465886,80245599
node,4963731868,Panki,26459561,80239069
